# intervals of consistent gain/loss (csv) (cnvIntervals)
# ---
# algorithmVersion: 2.0
# limInp: 4
# inpVal: 0.0501003
# mainPeakNormalBin: 0.0274478
# ploidyBasedNormalBin: 0.0272594
# normalPeakMethod: ploidyBased
# mainPeakCopyNumber: 2.0
# normalPostProcessingDir: .na
# normalSampleName: .na
# normalYPostProcessingDir: .na
# normalYSampleName: .na
# qualityPreNorm: 1.868958
# qualityPostNorm: 1.7225972
# bmdToolsVer: 0.0.32
# bmdSvPipelineVer: 0.37.42
# ...
"chr","start","end","actualCount","expectedCount","cnvState","nrd","cutoffZscore","rd"
1,1,515000,17453,7932.41671490526,3,4.05534581079523,20.4088750186637,1658.19291338583
1,515000,709000,3524,3101.60238333666,3,2.13137678105955,1.30452612446824,871.5
1,709000,818000,3073,2772.22867891153,3,2.32274824763202,3.20477878409481,949.75
1,818000,919000,2929,2772.22867891153,3,2.1105888262242,1.09810890265577,863
1,919000,1021000,2775,2772.22867891153,2,1.98280404503044,-0.170749902015011,810.75
1,1021000,1123000,2766,2772.22867891153,2,2.01928486773169,0.191492085283345,825.666666666667
1,1123000,1223000,2755,2772.22867891153,2,2.00135016159923,0.0134066390137637,818.333333333333
1,1223000,1323000,2717,2772.22867891153,2,1.96446173194043,-0.352882744790721,803.25
1,1323000,1664000,9795,9332.25495871208,2,2.06656727480817,0.660990079994063,845
1,1664000,13105000,313401,308760.400089859,2,2.02988264862814,0.296724394442643,830
1,13105000,16275000,85320,85801.8500027469,2,2.01154033553813,0.114591551666936,822.5
1,16275000,16534000,7349,7054.08683643824,3,2.17580593943314,1.74569234363607,889.666666666667
1,16534000,16950000,15645,8508.82069764925,3,3.34846868979611,13.3898290069163,1369.15748031496
1,16950000,25269000,230168,227679.573183873,2,2.00906580826037,0.0900203492557237,821.488188976378
1,25269000,72367000,1288297,1283102.7133968,2,2.01765443990147,0.175302499258838,825
1,72367000,83918000,316252,314689.126769512,2,2.04091692201458,0.406290923482522,834.511811023622
1,83918000,103668000,460892,537290.855343497,1,1.74019927244644,-2.57973162012429,711.551181102362
1,103668000,108327000,108709,126095.233177421,1,1.71304687196674,-2.84934559210723,700.448818897638
1,108327000,114300000,139594,162298.892855484,1,1.72906871395193,-2.690254227079,707
1,114300000,119637000,147078,145802.759825525,2,2.02376854426481,0.236013446850741,827.5
1,119637000,119739000,2698,2772.22867891153,2,1.94978788146842,-0.49858901901129,797.25
1,119739000,119841000,2804,2772.22867891153,2,2.04455649910016,0.442430668663212,836
1,119841000,119990000,4287,4117.17130531415,3,2.18493633528239,1.83635402537331,893.4
1,119990000,120317000,14714,8426.47727154296,3,3.62723333472108,16.1578657859412,1483.14173228346
1,120317000,120574000,8846,6669.81751460892,3,2.549445650526,5.45580580758571,1042.44444444444
1,120574000,120802000,4548,6120.86134056704,1,1.58023394487867,-4.16813215131619,646.142857142857
1,120802000,120994000,6189,4995.50118378117,3,2.5515030951689,5.4762355232833,1043.28571428571
1,120994000,121153000,6352,4336.7537749309,3,2.92400927072266,9.17509337028258,1195.6
1,121153000,121406000,11248,6697.26532331102,3,3.34991778067277,13.4042179795346,1369.75
1,121406000,121700000,7029,6889.39998422568,2,2.01140446655228,0.113242419498227,822.444444444444
1,121700000,125100000,18,27.4478087020943,3,3.08639988261291,10.7875761383235,1262
1,125100000,143319000,3078,2058.58565265708,3,3.23008133515135,12.2142834067333,1320.75
1,143319000,143508000,8882,4254.41034882462,3,4.00596117885892,19.9185026561458,1638
1,143508000,143641000,3493,3485.87170516598,2,1.99564366419345,-0.0432569120720145,816
1,143641000,144141000,14260,13092.604750899,2,2.05452200778686,0.541384732848439,840.074803149606
1,144141000,144353000,3486,4556.33624454766,1,1.59659645274627,-4.00565809157023,652.833333333333
1,144353000,144574000,7167,5818.935444844,3,2.33528216157687,3.32923622665821,954.875
1,144574000,145022000,7241,11034.0190982419,1,1.150934410972,-8.430928458903,470.606299212598
1,145022000,145420000,7887,9195.0159152016,1,1.69633177720335,-3.01532071812226,693.614173228346
1,145420000,145719000,9375,7987.31233230945,3,2.25144431084037,2.49675528426514,920.594488188976
1,145719000,146127000,10017,10402.7194980938,2,2.03355111124615,0.333150962997787,831.5
1,146127000,146323000,7066,5352.3226969084,3,2.59727153354589,5.93070033097127,1062
